""
"Symbol","Holding","Weight","Amount","Price","Shares"
"AMAT","Applied Materials","5.0%","$1,000","$324.74","3"
"EWP","iShares MSCI Spain ETF","9.9%","$1,980","$53.20","37"
"GLD","SPDR Gold Trust","43.6%","$8,720","$473.51","18"
"GSY","Invesco Ultra Short Duration ETF","15.8%","$3,160","$50.25","62"
"LRCX","Lam Research","5.0%","$1,000","$199.33","5"
"MU","Micron Technology","5.0%","$1,000","$370.30","2"
"UAE","iShares MSCI UAE ETF","2.0%","$400","$19.08","20"
"VPL","Vanguard FTSE Pacific ETF","7.9%","$1,580","$98.87","15"
"WDC","Western Digital","5.0%","$1,000","$245.25","4"
"Total Allocation","","(adjust leverage here)"
